0.005;5.702;8.831;-0.313;5.803
0.001;5.702;8.831;-0.313;5.794
-0.008;5.702;8.832;-0.313;5.786
-0.018;5.699;8.833;-0.314;5.779
-0.029;5.693;8.832;-0.314;5.773
-0.038;5.694;8.832;-0.314;5.767
-0.046;5.695;8.833;-0.314;5.762
-0.055;5.694;8.834;-0.314;5.757
-0.061;5.694;8.833;-0.314;5.753
-0.068;5.697;8.832;-0.313;5.749
-0.075;5.696;8.832;-0.313;5.746
-0.080;5.698;8.832;-0.313;5.743
-0.086;5.692;8.832;-0.313;5.740
-0.092;5.693;8.832;-0.313;5.738
-0.096;5.701;8.831;-0.313;5.735
-0.102;5.697;8.833;-0.314;5.733
-0.106;5.701;8.833;-0.313;5.732
-0.110;5.700;8.831;-0.313;5.730
-0.115;5.699;8.832;-0.313;5.729
-0.118;5.699;8.832;-0.314;5.727
-0.118;5.691;8.835;-0.315;5.726
-0.119;5.696;8.834;-0.314;5.725
-0.121;5.697;8.833;-0.314;5.724
-0.126;5.698;8.833;-0.314;5.723
-0.130;5.698;8.832;-0.314;5.722
-0.131;5.690;8.834;-0.315;5.722
-0.132;5.696;8.833;-0.314;5.721
-0.133;5.695;8.834;-0.314;5.721
-0.134;5.688;8.834;-0.314;5.720
-0.135;5.688;8.835;-0.315;5.720
-0.138;5.699;8.833;-0.313;5.719
-0.139;5.699;8.833;-0.313;5.719
-0.138;5.702;8.832;-0.313;5.718
-0.138;5.704;8.832;-0.313;5.718
-0.139;5.701;8.832;-0.313;5.718
-0.138;5.701;8.832;-0.313;5.718
-0.137;5.700;8.832;-0.314;5.717
-0.135;5.697;8.833;-0.314;5.717
-0.136;5.696;8.833;-0.314;5.717
-0.136;5.694;8.832;-0.313;5.690
-0.135;5.692;8.832;-0.314;5.659
-0.135;5.685;8.830;-0.315;5.627
-0.134;5.683;8.827;-0.315;5.593
-0.133;5.681;8.826;-0.315;5.560
-0.131;5.658;8.856;-0.320;5.527
-0.128;5.652;8.852;-0.320;5.493
-0.129;5.646;8.854;-0.320;5.459
-0.132;5.636;8.844;-0.320;5.425
-0.136;5.624;8.848;-0.320;5.390
-0.142;5.611;8.862;-0.318;5.355
-0.146;5.592;8.845;-0.316;5.319
-0.150;5.580;8.827;-0.315;5.283
-0.154;5.568;8.807;-0.313;5.246
-0.158;5.811;9.226;-0.228;5.209
-0.158;5.786;9.178;-0.229;5.172
-0.156;5.767;9.139;-0.224;5.135
-0.153;5.749;9.099;-0.223;5.097
-0.150;5.727;9.095;-0.220;5.059
-0.147;5.702;9.075;-0.218;5.020
-0.142;5.674;9.045;-0.215;4.980
-0.139;5.647;8.996;-0.215;4.940
-0.135;5.615;8.965;-0.211;4.900
-0.133;5.587;8.947;-0.209;4.859
-0.128;5.557;8.917;-0.207;4.819
-0.125;5.521;8.867;-0.204;4.777
-0.122;5.488;8.820;-0.201;4.735
-0.117;5.684;9.217;-0.343;4.693
-0.115;5.646;9.168;-0.340;4.651
-0.114;5.614;9.141;-0.340;4.609
-0.113;5.571;9.113;-0.336;4.566
-0.112;5.530;9.042;-0.331;4.521
-0.111;5.489;8.995;-0.329;5.896
-0.107;5.444;8.957;-0.326;6.560
-0.104;5.385;8.890;-0.321;6.870
-0.101;5.355;8.802;-0.320;7.003
-0.100;5.436;9.216;-0.364;7.045
-0.097;5.366;9.162;-0.361;7.045
-0.093;5.339;9.122;-0.359;7.021
-0.090;5.289;9.063;-0.356;6.940
-0.087;5.239;8.999;-0.353;6.858
-0.084;5.190;8.914;-0.351;6.794
-0.083;5.314;9.301;-0.289;6.726
-0.080;5.257;9.265;-0.285;6.654
-0.075;5.200;9.185;-0.283;6.312
-0.068;5.142;9.127;-0.280;6.261
-0.062;5.082;9.057;-0.278;5.946
-0.059;5.021;8.939;-0.276;5.658
-0.057;5.144;9.340;-0.278;5.393
-0.057;5.081;9.268;-0.277;5.149
-0.055;5.013;9.196;-0.273;5.035
-0.054;4.948;9.116;-0.272;4.925
-0.051;4.884;8.994;-0.272;4.831
-0.050;4.986;9.364;-0.299;4.736
-0.049;4.916;9.258;-0.296;4.641
-0.049;4.847;9.160;-0.296;4.454
-0.048;4.766;9.054;-0.292;4.281
-0.047;4.845;9.451;-0.382;4.118
-0.048;4.768;9.337;-0.380;3.967
-0.050;4.695;9.215;-0.381;3.949
-0.054;4.617;9.104;-0.379;3.911
-0.056;4.625;9.484;-0.377;3.865
-0.059;4.537;9.380;-0.373;3.815
-0.061;4.456;9.268;-0.371;4.115
-0.064;4.371;9.157;-0.365;4.284
-0.069;4.434;9.488;-0.301;4.314
-0.073;4.349;9.376;-0.299;4.246
-0.074;4.258;9.248;-0.295;4.189
-0.072;4.313;9.581;-0.303;4.124
-0.069;4.227;9.413;-0.295;4.747
