0.000;0.001;0.020
0.000;-0.008;0.020
0.000;-0.018;0.020
0.000;-0.029;0.020
0.000;-0.038;0.020
0.000;-0.046;0.020
0.000;-0.055;0.020
0.000;-0.061;0.020
0.000;-0.068;0.020
0.000;-0.075;0.020
0.000;-0.080;0.020
0.000;-0.086;0.020
0.000;-0.092;0.020
0.000;-0.096;0.020
0.000;-0.102;0.020
0.000;-0.106;0.020
0.000;-0.110;0.020
0.000;-0.115;0.020
0.000;-0.118;0.020
0.000;-0.118;0.020
0.000;-0.119;0.020
0.000;-0.121;0.020
0.000;-0.126;0.020
0.000;-0.130;0.020
0.000;-0.131;0.020
0.000;-0.132;0.020
0.000;-0.133;0.020
0.000;-0.134;0.020
0.000;-0.135;0.020
0.000;-0.138;0.020
0.000;-0.139;0.020
0.000;-0.138;0.020
0.000;-0.138;0.020
0.000;-0.139;0.020
0.000;-0.138;0.020
0.000;-0.137;0.020
0.000;-0.135;0.020
0.000;-0.136;0.020
0.027;-0.136;0.020
0.058;-0.135;0.020
0.090;-0.135;0.020
0.123;-0.134;0.020
0.156;-0.133;0.020
0.189;-0.131;0.020
0.223;-0.128;0.020
0.257;-0.129;0.020
0.291;-0.132;0.020
0.326;-0.136;0.020
0.361;-0.142;0.020
0.397;-0.146;0.020
0.433;-0.150;0.020
0.470;-0.154;0.020
0.507;-0.158;0.020
0.544;-0.158;0.020
0.581;-0.156;0.020
0.619;-0.153;0.020
0.657;-0.150;0.020
0.696;-0.147;0.020
0.736;-0.142;0.020
0.776;-0.139;0.020
0.816;-0.135;0.020
0.857;-0.133;0.020
0.897;-0.128;0.020
0.939;-0.125;0.020
0.981;-0.122;0.020
1.023;-0.117;0.020
1.065;-0.115;0.020
1.107;-0.114;0.020
1.150;-0.113;0.020
1.194;-0.112;0.020
1.237;-0.111;0.020
1.281;-0.107;0.020
1.326;-0.104;0.020
1.370;-0.101;0.020
1.416;-0.100;0.020
1.461;-0.097;0.020
1.507;-0.093;0.020
1.554;-0.090;0.020
1.601;-0.087;0.020
1.647;-0.084;0.020
1.695;-0.083;0.020
1.743;-0.080;0.020
1.790;-0.075;0.020
1.841;-0.068;0.020
1.890;-0.062;0.020
1.939;-0.059;0.020
1.989;-0.057;0.020
2.039;-0.057;0.020
2.090;-0.055;0.020
2.141;-0.054;0.020
2.192;-0.051;0.020
2.244;-0.050;0.020
2.296;-0.049;0.020
2.349;-0.049;0.020
2.402;-0.048;0.020
2.456;-0.047;0.020
2.510;-0.048;0.020
2.563;-0.050;0.020
2.618;-0.054;0.020
2.673;-0.056;0.020
2.727;-0.059;0.020
2.782;-0.061;0.020
2.838;-0.064;0.020
2.894;-0.069;0.020
2.950;-0.073;0.020
3.005;-0.074;0.020
3.063;-0.072;0.020
3.121;-0.069;0.020
3.179;-0.069;0.020
3.237;-0.071;0.020
3.295;-0.074;0.020
3.354;-0.080;0.020
3.413;-0.085;0.020
3.471;-0.087;0.020
3.532;-0.087;0.020
3.592;-0.086;0.020
3.652;-0.085;0.020
3.714;-0.090;0.020
